framework                        , test                                                         , time     , gcMinorN     , gcMinorMs    , gcMajorN     , gcMajorMs    , gcIncrN      , gcIncrMs     , gcWeakN      , gcWeakMs     , peakHeapMb   , peakExtMb    , peakArrMb    , peakTotalMb  , peakRssMb    , floorMb      , floorDeltaMb
Cosignals                        , avoidablePropagation                                         , 240.88   , 7            , 3.2          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 51.90        , 6.50         , 0.13         , 58.53        , 463.91       ,              ,             
Cosignals                        , avoidablePropagation (pair)                                  , 233.70   , 8            , 3.4          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 52.10        , 6.50         , 0.13         , 58.73        , 464.04       ,              ,             
Cosignals                        , broadPropagation                                             , 315.42   , 1            , 0.4          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 56.64        , 6.50         , 0.13         , 63.27        , 464.04       ,              ,             
Cosignals                        , broadPropagation (pair)                                      , 321.42   , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 55.75        , 6.50         , 0.13         , 62.38        , 464.16       ,              ,             
Cosignals                        , deepPropagation                                              , 106.54   , 1            , 0.4          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 55.45        , 6.50         , 0.13         , 62.08        , 464.16       ,              ,             
Cosignals                        , deepPropagation (pair)                                       , 103.15   , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 57.88        , 6.50         , 0.13         , 64.51        , 464.16       ,              ,             
Cosignals                        , diamond                                                      , 207.14   , 9            , 3.8          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 63.74        , 6.50         , 0.13         , 70.36        , 464.29       ,              ,             
Cosignals                        , diamond (pair)                                               , 205.46   , 10           , 3.9          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 63.83        , 6.50         , 0.13         , 70.46        , 464.29       ,              ,             
Cosignals                        , mux                                                          , 200.91   , 19           , 8.1          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 63.83        , 6.50         , 0.13         , 70.46        , 464.41       ,              ,             
Cosignals                        , mux (pair)                                                   , 187.18   , 20           , 8.1          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 62.30        , 6.50         , 0.13         , 68.93        , 464.41       ,              ,             
Cosignals                        , repeatedObservers                                            , 34.13    , 2            , 0.8          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 62.30        , 6.50         , 0.13         , 68.93        , 464.41       ,              ,             
Cosignals                        , repeatedObservers (pair)                                     , 33.98    , 1            , 0.4          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 53.49        , 6.50         , 0.13         , 60.12        , 464.41       ,              ,             
Cosignals                        , triangle                                                     , 61.18    , 5            , 2.1          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 63.16        , 6.50         , 0.13         , 69.78        , 464.41       ,              ,             
Cosignals                        , triangle (pair)                                              , 62.35    , 5            , 2.1          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 34.42        , 6.50         , 0.13         , 41.04        , 464.41       ,              ,             
Cosignals                        , unstable                                                     , 46.31    , 2            , 0.9          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 46.86        , 6.50         , 0.13         , 53.49        , 464.41       ,              ,             
Cosignals                        , unstable (pair)                                              , 45.99    , 2            , 0.8          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 56.62        , 6.50         , 0.13         , 63.25        , 464.41       ,              ,             
Cosignals                        , molBench                                                     , 34.07    , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 50.46        , 6.50         , 0.13         , 57.08        , 464.54       ,              ,             
Cosignals                        , molBench (pair)                                              , 33.76    , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 56.61        , 6.50         , 0.13         , 63.24        , 464.54       ,              ,             
Cosignals                        , cellx1000                                                    , 18.18    , 1            , 1.9          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 56.61        , 6.50         , 0.13         , 63.24        , 464.91       ,              ,             
Cosignals                        , cellx2500                                                    , 66.04    , 2            , 1.9          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 55.79        , 6.50         , 0.13         , 62.42        , 465.29       ,              ,             
Cosignals                        , cellx1000 (pair)                                             , 14.16    , 1            , 0.4          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 54.68        , 6.50         , 0.13         , 61.31        , 465.29       ,              ,             
Cosignals                        , cellx2500 (pair)                                             , 48.95    , 2            , 0.9          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 41.87        , 6.50         , 0.13         , 48.50        , 465.29       ,              ,             
Cosignals                        , 2-10x5 - lazy80%                                             , 371.30   , 8            , 3.6          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 60.12        , 6.50         , 0.13         , 66.75        , 465.29       ,              ,             
Cosignals                        , 2-10x5 - lazy80% (pair)                                      , 362.18   , 8            , 3.5          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 58.53        , 6.50         , 0.13         , 65.16        , 465.29       ,              ,             
Cosignals                        , 6-10x10 - dyn25% - lazy80%                                   , 201.69   , 6            , 2.6          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 58.53        , 6.50         , 0.13         , 65.16        , 465.29       ,              ,             
Cosignals                        , 6-10x10 - dyn25% - lazy80% (pair)                            , 198.74   , 6            , 2.5          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 58.17        , 6.50         , 0.13         , 64.80        , 465.29       ,              ,             
Cosignals                        , 4-1000x12 - dyn5%                                            , 440.43   , 16           , 25.1         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 72.38        , 6.50         , 0.13         , 79.00        , 465.54       ,              ,             
Cosignals                        , 4-1000x12 - dyn5% (pair)                                     , 467.26   , 7            , 16.1         , 1            , 2.1          , 1            , 0.3          , 0            , 0.0          , 78.61        , 6.50         , 0.13         , 85.24        , 465.54       ,              ,             
Cosignals                        , 25-1000x5                                                    , 608.56   , 3            , 18.2         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 67.72        , 6.50         , 0.13         , 74.34        , 465.54       ,              ,             
Cosignals                        , 25-1000x5 (pair)                                             , 569.10   , 2            , 18.8         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 78.03        , 6.50         , 0.13         , 84.66        , 465.54       ,              ,             
Cosignals                        , 3-5x500                                                      , 189.68   , 8            , 5.8          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 87.99        , 6.50         , 0.13         , 94.62        , 463.54       ,              ,             
Cosignals                        , 3-5x500 (pair)                                               , 184.83   , 8            , 6.3          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 69.44        , 6.50         , 0.13         , 76.07        , 463.54       ,              ,             
Cosignals                        , 6-100x15 - dyn50%                                            , 255.99   , 9            , 6.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 89.32        , 6.50         , 0.13         , 95.95        , 463.54       ,              ,             
Cosignals                        , 6-100x15 - dyn50% (pair)                                     , 258.65   , 8            , 5.6          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 74.28        , 6.50         , 0.13         , 80.90        , 463.54       ,              ,             
Cosignals Arena                  , createSignals                                                , 4.49     , 6            , 17.1         , 0            , 0.0          , 1            , 0.2          , 0            , 0.0          , 91.35        , 112.62       , 104.15       , 306.01       , 257.33       ,              ,             
Cosignals Arena                  , createComputations                                           , 231.81   , 53           , 794.4        , 6            , 73.7         , 5            , 2.2          , 0            , 0.0          , 317.29       , 112.01       , 105.64       , 534.94       , 513.88       ,              ,             
Cosignals Arena                  , updateSignals                                                , 933.90   , 19           , 85.5         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 245.40       , 112.02       , 105.65       , 463.06       , 513.88       ,              ,             
Cosignals Arena                  , createSignals (pair)                                         , 0.79     , 1            , 3.6          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 245.20       , 112.02       , 105.65       , 462.86       , 511.22       ,              ,             
Cosignals Arena                  , createComputations (pair)                                    , 166.68   , 39           , 394.9        , 2            , 31.1         , 2            , 1.1          , 0            , 0.0          , 315.81       , 112.01       , 105.65       , 533.46       , 524.38       ,              ,             
Cosignals Arena                  , updateSignals (pair)                                         , 1049.32  , 18           , 90.1         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 306.24       , 112.01       , 105.64       , 523.89       , 520.80       ,              ,             
Cosignals Arena                  , avoidablePropagation                                         , 287.58   , 7            , 4.4          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 312.93       , 112.01       , 105.64       , 530.59       , 519.96       ,              ,             
Cosignals Arena                  , avoidablePropagation (pair)                                  , 274.53   , 8            , 4.2          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 312.97       , 112.01       , 105.64       , 530.62       , 519.96       ,              ,             
Cosignals Arena                  , broadPropagation                                             , 331.90   , 1            , 0.5          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 317.80       , 112.01       , 105.64       , 535.45       , 520.09       ,              ,             
Cosignals Arena                  , broadPropagation (pair)                                      , 336.36   , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 307.12       , 112.01       , 105.64       , 524.77       , 520.09       ,              ,             
Cosignals Arena                  , deepPropagation                                              , 100.28   , 1            , 0.6          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 316.56       , 112.01       , 105.64       , 534.21       , 520.09       ,              ,             
